MachineId	Description
ANALRM	ANALYTICAL RAW MATERIAL
BQCLIQ	LIQUIDS BULK QC
BQCMLD	MOULDINGS BULK QC
BQCPWD	POWDERS BULK QC
MANLIQ	LIQUIDS MAN. IN PROCESS
MANMLD	MOULDINGS MAN. IN PROCESS
MANPWD	POWDERS MAN. IN PROCESS
MICLIQ	LIQUIDS MICRO
MICMLD	MOULDINGS MICRO
MICPWD	POWDERS MICRO
MICRAW	MICRO RAW MATERIAL
P05M0350	PORTABLEMILL
P05M0351	Mill 1
P05M0352	Mill 2
P05M0353	Mill 3
P05M0360	V250
P05M0361	V5001
P05M0362	V5002
P05M0363	V5003
P05M0364	V100 Cream
P05M0365	V100 Pink
P05M0366	V200
P05M0450	BUHLER1
P05M0451	BUHLER2
P05M0452	COMEC200
P05M0453	Pan1
P05M0454	Pan2
P05M0455	Pan3
P05M0456	Pan4
P05M0457	Pan5
P05M0458	Pan6
P05M0459	Pan7
P05M0460	FRYMA
P05M0461	UNI200
P05M0462	BUHLER3
P05M0463	BUHLER4
P05M0464	Pan8
P05M0465	K8 BEAD MILL
P05M0466	K60 BEAD MILL
P05M0467	KORUMA BALL MILL
P05M0550	WEB3
P05M0551	WEB4
P05M0552	WEB5
P05M0553	UNI100
P05M0554	UNI500
P05M0555	BECO150
P05M0556	BECO500
P05M0557	BECO1200
P05M0558	VT1000
P05M0559	OLSA50
P05M0560	OLSA300
P05M0561	OLSA500
P05M0562	EKATO200
P05M0563	EKATO1000
P05M0564	Kemwall Pot
P05M0565	EKATO200ATEX
P05M0566	EKATO320ATEX
P05M0567	BECO5
P05M0568	BECOMIX 2000L
P05M0569	DIAF MIXER
P05M0570	DIAF MIXER 2
P05M0571	DIAF MIXER 3
P05M0572	UNI650
P05M0573	EKATO500ATEX
P05M0574	Drum Mixer 1
P05M0575	BECOMIX 25L
P05P0301	301 Kemwall
P05P0302	302 Kemwall
P05P0303	303 Kemwall
P05P0304	304 Kemwall
P05P0305	305 Kemwall
P05P0306	306 Kemwall
P05P0307	307 Kemwall
P05P0312	312 Alite
P05P0321	321 Book Press
P05P0322	322 Book Press
P05P0324	324 Book Press
P05P0325	325 Vetraco Rotary Press
P05P0326	326 Vetraco Rotary Press
P05P0327	327 Robot Vetraco Press
P05P0328	328 Robot Vetraco Press
P05P0329	329 Camwell
P05P0401	Weckerle 401
P05P0402	402 Weckerle
P05P0403	403 Weckerle
P05P0404	404 Weckerle
P05P0405	405 Weckerle
P05P0407	407 Weckerle (rework Line)
P05P0408	408 Hot Pour
P05P0409	409 Weckerle Slimstick (1)
P05P0410	410 Weckerle Tester
P05P0411	411 Weckerle Slimstick (2)
P05P0416	416 MM360
P05P0417	417 MM360
P05P0501	501 Kugler
P05P0502	502 Kugler
P05P0503	503 Kugler
P05P0504	504 Kugler
P05P0505	505 Kugler
P05P0506	506 Kugler
P05P0507	507 Kugler
P05P0508	508 Jar Foundation Line
P05P0509	509 Bottle Foundation Line
P05P0510	510 High Speed Kugler
P05P0512	512 Kugler
P05P0513	513 Kalix Tube Filler
P05P0514	514 Kalix Tube Filler
P05P0515	515 Liquids Rework Line
P05P0516	516 Kugler
P05P0517	517 M2
P05P0518	518 IWK
P05P0519	519 PKB
P05P0520	520 Romaco
P05P0521	521 Kalix
P05P0601	601 Robot Line
P05P0602	602 Robot Line
P05P0603	603 Robot Line
P05P0604	604 Robot Line
P05P0605	605 Farasonn
P05P0612	612 Manual Line
P05P0614	614 Puck Line
P05P0615	615 Manual/Rework Line
P05P0701	701 Liquids Prestige
P05S0399	Subcontracting Powders Man
P05S0499	Subcontracting Mouldings Man
P05S0599	Liquids Outsource
